Country Code,Year,Indicator Code,Value
USA,1960,NY.GDP.MKTP.CD,543300000000
USA,1961,NY.GDP.MKTP.CD,563300000000
USA,1962,NY.GDP.MKTP.CD,605100000000
USA,1963,NY.GDP.MKTP.CD,638600000000
USA,1964,NY.GDP.MKTP.CD,685800000000
USA,1965,NY.GDP.MKTP.CD,743700000000
USA,1966,NY.GDP.MKTP.CD,815000000000
USA,1967,NY.GDP.MKTP.CD,861700000000
USA,1968,NY.GDP.MKTP.CD,942500000000
USA,1969,NY.GDP.MKTP.CD,1019900000000
USA,1970,NY.GDP.MKTP.CD,1073303000000
USA,1971,NY.GDP.MKTP.CD,1164850000000
USA,1972,NY.GDP.MKTP.CD,1279110000000
USA,1973,NY.GDP.MKTP.CD,1425376000000
USA,1974,NY.GDP.MKTP.CD,1545243000000
USA,1975,NY.GDP.MKTP.CD,1684904000000
USA,1976,NY.GDP.MKTP.CD,1873412000000
USA,1977,NY.GDP.MKTP.CD,2081826000000
USA,1978,NY.GDP.MKTP.CD,2351599000000
USA,1979,NY.GDP.MKTP.CD,2627333000000
USA,1980,NY.GDP.MKTP.CD,2857307000000
USA,1981,NY.GDP.MKTP.CD,3207041000000
USA,1982,NY.GDP.MKTP.CD,3343789000000
USA,1983,NY.GDP.MKTP.CD,3634038000000
USA,1984,NY.GDP.MKTP.CD,4037613000000
USA,1985,NY.GDP.MKTP.CD,4338979000000
USA,1986,NY.GDP.MKTP.CD,4579631000000
USA,1987,NY.GDP.MKTP.CD,4855215000000
USA,1988,NY.GDP.MKTP.CD,5236438000000
USA,1989,NY.GDP.MKTP.CD,5641580000000
USA,1990,NY.GDP.MKTP.CD,5963144000000
USA,1991,NY.GDP.MKTP.CD,6158129000000
USA,1992,NY.GDP.MKTP.CD,6520327000000
USA,1993,NY.GDP.MKTP.CD,6858559000000
USA,1994,NY.GDP.MKTP.CD,7287236000000
USA,1995,NY.GDP.MKTP.CD,7639749000000
USA,1996,NY.GDP.MKTP.CD,8073122000000
USA,1997,NY.GDP.MKTP.CD,8577554457000
USA,1998,NY.GDP.MKTP.CD,9062818202000
USA,1999,NY.GDP.MKTP.CD,9631174489000
USA,2000,NY.GDP.MKTP.CD,10250947997000
USA,2001,NY.GDP.MKTP.CD,10581929774000
USA,2002,NY.GDP.MKTP.CD,10929112955000
USA,2003,NY.GDP.MKTP.CD,11456442041000
USA,2004,NY.GDP.MKTP.CD,12217193198000
USA,2005,NY.GDP.MKTP.CD,13039199193000
USA,2006,NY.GDP.MKTP.CD,13815586948000
USA,2007,NY.GDP.MKTP.CD,14474226905000
USA,2008,NY.GDP.MKTP.CD,14769857911000
USA,2009,NY.GDP.MKTP.CD,14478064934000
USA,2010,NY.GDP.MKTP.CD,15048964444000
USA,2011,NY.GDP.MKTP.CD,15599728123000
USA,2012,NY.GDP.MKTP.CD,16253972230000
USA,2013,NY.GDP.MKTP.CD,16843190993000
USA,2014,NY.GDP.MKTP.CD,17550680174000
USA,2015,NY.GDP.MKTP.CD,18206020741000
USA,2016,NY.GDP.MKTP.CD,18695110842000
USA,2017,NY.GDP.MKTP.CD,19477336549000
USA,2018,NY.GDP.MKTP.CD,20533057312000
USA,2019,NY.GDP.MKTP.CD,21380976119000
USA,2020,NY.GDP.MKTP.CD,21060473613000
USA,2021,NY.GDP.MKTP.CD,23315080560000
USA,2022,NY.GDP.MKTP.CD,25439700000000
